47,"Check tNAe out Wow HurricaneSandy 
 Superstorm Sandy  PhotoNAphs by Andrew Burton httptcoYLdqkqpZ",42.32356061,-85.6253403,3,1,36
48,LNA a little Be a NA named Sandy Get around Pick your NA up off the ground LNA a little Be a NA named Sandy Get around,39.50224893,-77.95146861,30,15,54
49,NYGovCuomo DNAtNA NAhNAan hit NAy hard  pic of WhiteNA NAway NA Plaza NA sandy mtaNAr httptcovLp3v85s,40.91262249,-73.78181881,31,10,36
50,Transformer NAt blew in ChNAyNA Goodnight Sandy,38.89775441,-77.11198955,30,2,4
51,Survivor sandy lNAs to fish again See ya next NA httptcoNyc9gbnL,39.309538,-74.589321,2,14,42
52,NAtina6409 NAt wasnt sandy I NA by and NA it oNA,38.7979019,-76.52974541,31,18,20
53,Dozens of NA and NA NAr spNAorNA NA into the maraNAn How aNA use NAt money to NA NA Sandy,29.95226288,-90.06901958,2,12,14
54,Sandy NANA not NAtroy NewYorkCity  I am NAing to go back to a NAling city not a NAed city,37.42575228,-122.1796329,30,4,57
55,A lNAop blew into the wNAr so now A DNA is Rolling in The Deep HurricaneSandy,41.43763637,-71.98093925,29,16,43
56,And for NA Subway NA and DD NA NAness HurricaneSandy,40.31244995,-74.11008895,29,17,40
57,When a Blizzard Meets a Hurricane Epic Sandy ThePerfectStorm,38.7794635,-90.3583558,29,3,45
58,BeaNA the NAmNAs to go to my car Lets go Sandy  fashionNAtNAorNA httptcoHoF3xrvP,40.59903506,-74.90823788,29,22,6
59,This what yall wNAed NAricane sandy right  now yall NA sick ishNA yall dont hNA no power ,40.2129785,-74.6474976,30,1,4
60,Sandy hit NY bad I hope my family NA cNA NANA NAe of them NA my NA,38.87607901,-76.88763883,30,17,8
61,NAdforbuiness NAtNAding Bloomberg nowinsNAation sandy nyc NA  NYC MaraNAn Mile Market 12 httptcopOdqmkwd,40.728797,-73.953717,3,12,0
62,I hNA NA days like today Thanks Hurricane Sandy ,29.19730306,-81.05026177,25,17,40
63,Sandy is NAt too NA wNAs to bNA NArything,38.89109228,-77.0364722,28,17,25
64,My NA is NA the house while Sandy is NA the shit NA NArybody,40.75757146,-73.96604419,29,21,46
65,When can we not go aNA NAry day life because of sandy,37.54554209,-77.45150912,29,20,16
66,NA NA Furaco Sandy n Depois do NAl NA NA NAina at de furaco,-30.0884781,-51.21606498,25,23,26
67,Mano que NA o NA de NA hj s no NA que o sandy NAha me NA NA NAe NA por ny NAmo eu NA NAaNAa,-23.64755083,-46.56612318,30,17,19
68,MNANAsInMyBed but NAl NC NA NA any NAage from Sandy Coastal aNAs NAing with NA ,35.38690684,-77.94383585,1,1,55
69,Sandy NA the NA NA to NA the bNAna NA NA for one  Star Market httptcoBm2WnsfN,42.35224405,-71.12342633,29,20,47
70,HeNA to you Sandy  Barcade httptcoLH0LHTQB,40.7120462,-73.9511408,29,6,41
71,WALMART is out of wNAr NA HurricaneSandy httptcojQ28HWAc,40.083635,-75.39859,27,20,38
72,TNAhaNA at Murray amp CNAch NA coffee amp food on NAeet NAiNAnce nyc sandy  TNAhaNA Bakery httptcoF66C3A9y,40.71377095,-74.00882448,2,17,17
73,sandy NA NA NA NA NA NA NA de NA NA  biypapaginbatNAabNA ,40.58538148,-73.93293842,29,5,47
74,The NA of the NA blew off oNA the NA and hit the house NA sandy  AeroNAck httptco66seET4y,42.55449918,-71.165916,29,21,11
75,Im wNA NA I hNA no life ihNAyousandy httptco2f1U5pJC,36.6966442,-75.9250641,29,19,31
76,Huracan Sandy ya me NA NA las NAtas,42.41315061,-71.43434539,29,20,55
